Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
1,Saquon Barkley,RB,PHI,,1,1,1
2,Ja'Marr Chase,WR,CIN,,1,1,1
3,Justin Jefferson,WR,MIN,,2,1,1
4,CeeDee Lamb,WR,DAL,,3,1,1
5,Bijan Robinson,RB,ATL,,2,1,1
6,Puka Nacua,WR,LAR,,4,1,1
7,Amon-Ra St. Brown,WR,DET,,5,1,1
8,Jahmyr Gibbs,RB,DET,,3,1,1
9,Malik Nabers,WR,NYG,,6,2,1
10,Nico Collins,WR,HOU,,7,2,1
11,De'Von Achane,RB,MIA,,4,1,1
12,Brian Thomas Jr.,WR,JAC,,8,2,1
13,Derrick Henry,RB,BAL,,5,1,2
14,A.J. Brown,WR,PHI,,9,2,2
15,Josh Jacobs,RB,GB,,6,2,2
16,Tyreek Hill,WR,MIA,,10,2,2
17,Bucky Irving,RB,TB,,7,2,2
18,Tee Higgins,WR,CIN,,11,3,2
19,Jaxon Smith-Njigba,WR,SEA,,12,3,2
20,Christian McCaffrey,RB,SF,,8,2,2
21,Josh Allen,QB,BUF,,1,1,2
22,Drake London,WR,ATL,,13,3,2
23,Ladd McConkey,WR,LAC,,14,3,2
24,Lamar Jackson,QB,BAL,,2,1,2
25,Jonathan Taylor,RB,IND,,9,2,3
26,Brock Bowers,TE,LV,,1,1,3
27,Breece Hall,RB,NYJ,,10,2,3
28,Terry McLaurin,WR,WAS,,15,3,3
29,Garrett Wilson,WR,NYJ,,16,4,3
30,Trey McBride,TE,ARI,,2,1,3
31,Kyren Williams,RB,LAR,,11,3,3
32,Jayden Daniels,QB,WAS,,3,1,3
33,Mike Evans,WR,TB,,17,4,3
34,DJ Moore,WR,CHI,,18,4,3
35,Davante Adams,WR,NYJ,,19,4,3
36,Chase Brown,RB,CIN,,12,3,3
37,Rashee Rice,WR,KC,,20,4,4
38,Jalen Hurts,QB,PHI,,4,1,4
39,Zay Flowers,WR,BAL,,21,5,4
40,James Cook,RB,BUF,,13,3,4
41,Courtland Sutton,WR,DEN,,22,5,4
42,DK Metcalf,WR,SEA,,23,5,4
43,George Pickens,WR,PIT,,24,5,4
44,Kenneth Walker III,RB,SEA,,14,3,4
45,Alvin Kamara,RB,NO,,15,3,4
46,Joe Burrow,QB,CIN,,5,1,4
47,Jordan Addison,WR,MIN,,25,5,4
48,Chuba Hubbard,RB,CAR,,16,4,4
49,Jerry Jeudy,WR,CLE,,26,6,5
50,Joe Mixon,RB,HOU,,17,4,5
51,Chris Olave,WR,NO,,27,6,5
52,Jaylen Waddle,WR,MIA,,28,6,5
53,Patrick Mahomes II,QB,KC,,6,2,5
54,Marvin Harrison Jr.,WR,ARI,,29,6,5
55,James Conner,RB,ARI,,18,4,5
56,George Kittle,TE,SF,,3,1,5
57,Ashton Jeanty,RB,,,19,4,5
58,DeVonta Smith,WR,PHI,,30,6,5
59,Baker Mayfield,QB,TB,,7,2,5
60,Isiah Pacheco,RB,KC,,20,4,5
61,Jameson Williams,WR,DET,,31,7,6
62,Jared Goff,QB,DET,,8,2,6
63,David Montgomery,RB,DET,,21,5,6
64,Brandon Aiyuk,WR,SF,,32,7,6
65,T.J. Hockenson,TE,MIN,,4,1,6
66,Chris Godwin,WR,TB,,33,7,6
67,Jordan Love,QB,GB,,9,2,6
68,Tyrone Tracy Jr.,RB,NYG,,22,5,6
69,Tony Pollard,RB,TEN,,23,5,6
70,Rome Odunze,WR,CHI,,34,7,6
71,Aaron Jones Sr.,RB,MIN,,24,5,6
72,Sam LaPorta,TE,DET,,5,1,6
73,Justin Herbert,QB,LAC,,10,2,7
74,Khalil Shakir,WR,BUF,,35,7,7
75,J.K. Dobbins,RB,LAC,,25,5,7
76,Brian Robinson Jr.,RB,WAS,,26,6,7
77,Deebo Samuel Sr.,WR,SF,,36,8,7
78,Najee Harris,RB,PIT,,27,6,7
79,Kyler Murray,QB,ARI,,11,3,7
80,D'Andre Swift,RB,CHI,,28,6,7
81,Bo Nix,QB,DEN,,12,3,7
82,Calvin Ridley,WR,TEN,,37,8,7
83,Jakobi Meyers,WR,LV,,38,8,7
84,Mark Andrews,TE,BAL,,6,2,7
85,Rico Dowdle,RB,DAL,,29,6,8
86,Brock Purdy,QB,SF,,13,3,8
87,Jonnu Smith,TE,MIA,,7,2,8
88,Anthony Richardson,QB,IND,,14,3,8
89,Travis Etienne Jr.,RB,JAC,,30,6,8
90,Xavier Worthy,WR,KC,,39,8,8
91,Jaylen Warren,RB,PIT,,31,7,8
92,Jayden Reed,WR,GB,,40,8,8
93,Travis Kelce,TE,KC,,8,2,8
94,David Njoku,TE,CLE,,9,2,8
95,Stefon Diggs,WR,HOU,,41,9,8
96,Caleb Williams,QB,CHI,,15,3,8
97,Keenan Allen,WR,CHI,,42,9,9
98,Rhamondre Stevenson,RB,NE,,32,7,9
99,Evan Engram,TE,JAC,,10,2,9
100,Cooper Kupp,WR,LAR,,43,9,9
101,Amari Cooper,WR,BUF,,44,9,9
102,Rachaad White,RB,TB,,33,7,9
103,C.J. Stroud,QB,HOU,,16,4,9
104,Josh Downs,WR,IND,,45,9,9
105,Dalton Kincaid,TE,BUF,,11,3,9
106,Tua Tagovailoa,QB,MIA,,17,4,9
107,Michael Pittman Jr.,WR,IND,,46,9,9
108,Tucker Kraft,TE,GB,,12,3,9
109,Dak Prescott,QB,DAL,,18,4,10
110,Zach Charbonnet,RB,SEA,,34,7,10
111,Tyjae Spears,RB,TEN,,35,7,10
112,Drake Maye,QB,NE,,19,4,10
113,Tank Bigsby,RB,JAC,,36,8,10
114,Jalen McMillan,WR,TB,,47,9,10
115,Jake Ferguson,TE,DAL,,13,3,10
116,Dallas Goedert,TE,PHI,,14,3,10
117,Darnell Mooney,WR,ATL,,48,9,10
118,Javonte Williams,RB,DEN,,37,8,10
119,Sam Darnold,QB,MIN,,20,4,10
120,Keon Coleman,WR,BUF,,49,10,10
121,Jauan Jennings,WR,SF,,50,10,11
122,Austin Ekeler,RB,WAS,,38,8,11
123,Blake Corum,RB,LAR,,39,8,11
124,Trevor Lawrence,QB,JAC,,21,5,11
125,DeAndre Hopkins,WR,KC,,51,10,11
126,Quentin Johnston,WR,LAC,,52,10,11
127,Nick Chubb,RB,CLE,,40,8,11
128,Jerome Ford,RB,CLE,,41,9,11
129,Hunter Henry,TE,NE,,15,3,11
130,Marquise Brown,WR,KC,,53,10,11
131,Omarion Hampton,RB,,,42,9,11
132,Matthew Stafford,QB,LAR,,22,5,11
133,Bryce Young,QB,CAR,,23,5,12
134,Jaleel McLaughlin,RB,DEN,,43,9,12
135,Ricky Pearsall,WR,SF,,54,10,12
136,Tyler Allgeier,RB,ATL,,44,9,12
137,Kyle Pitts,TE,ATL,,16,4,12
138,Michael Penix Jr.,QB,ATL,,24,5,12
139,Jordan Mason,RB,SF,,45,9,12
140,Christian Kirk,WR,JAC,,55,10,12
141,Braelon Allen,RB,NYJ,,46,9,12
142,TreVeyon Henderson,RB,,,47,9,12
143,Rashid Shaheed,WR,NO,,56,10,12
144,Ray Davis,RB,BUF,,48,9,12
145,Pat Freiermuth,TE,PIT,,17,4,13
146,Tetairoa McMillan,WR,,,57,11,13
147,Quinshon Judkins,RB,,,49,10,13
148,Romeo Doubs,WR,GB,,58,11,13
149,Diontae Johnson,WR,,,59,11,13
150,Cole Kmet,TE,CHI,,18,4,13
151,Cam Ward,QB,,,25,5,13
152,Jaylen Wright,RB,MIA,,50,10,13
153,Marvin Mims Jr.,WR,DEN,,60,11,13
154,Isaac Guerendo,RB,SF,,51,10,13
155,Cedric Tillman,WR,CLE,,61,11,13
156,Shedeur Sanders,QB,,,26,6,13
157,Rashod Bateman,WR,BAL,,62,11,14
158,MarShawn Lloyd,RB,GB,,52,10,14
159,Geno Smith,QB,SEA,,27,6,14
160,Trey Benson,RB,ARI,,53,10,14
161,Adonai Mitchell,WR,IND,,63,11,14
162,Tyler Warren,TE,,,19,4,14
163,Adam Thielen,WR,CAR,,64,11,14
164,Cade Otton,TE,TB,,20,4,14
165,Luther Burden III,WR,,,65,12,14
166,Audric Estime,RB,DEN,,54,10,14
167,Roschon Johnson,RB,CHI,,55,10,14
168,Michael Wilson,WR,ARI,,66,12,14
169,Sincere McCormick,RB,LV,,56,10,15
170,DeMario Douglas,WR,NE,,67,12,15
171,Xavier Legette,WR,CAR,,68,12,15
172,Dalton Schultz,TE,HOU,,21,5,15
173,Zach Ertz,TE,WAS,,22,5,15
174,Emeka Egbuka,WR,,,69,12,15
175,Wan'Dale Robinson,WR,NYG,,70,12,15
176,Jalen Coker,WR,CAR,,71,12,15
177,Kimani Vidal,RB,LAC,,57,11,15
178,Antonio Gibson,RB,NE,,58,11,15
179,Kayshon Boutte,WR,NE,,72,12,15
180,Andrei Iosivas,WR,CIN,,73,13,15
181,Alec Pierce,WR,IND,,74,13,16
182,Chig Okonkwo,TE,TEN,,23,5,16
183,Derek Carr,QB,NO,,28,6,16
184,Dontayvion Wicks,WR,GB,,75,13,16
185,Elijah Moore,WR,CLE,,76,13,16
186,Kenneth Gainwell,RB,PHI,,59,11,16
187,Russell Wilson,QB,PIT,,29,6,16
188,Nicholas Singleton,RB,,,60,11,16
189,Isaiah Likely,TE,BAL,,24,5,16
190,Brandin Cooks,WR,DAL,,77,13,16
191,Isaiah Bond,WR,,,78,13,16
192,Kendre Miller,RB,NO,,61,11,16
193,Colston Loveland,TE,,,25,5,17
194,Miles Sanders,RB,CAR,,62,11,17
195,Malik Washington,WR,MIA,,79,13,17
196,Cam Skattebo,RB,,,63,11,17
197,Devaughn Vele,WR,DEN,,80,13,17
198,Tre Harris,WR,,,81,14,17
199,Kyle Monangai,RB,,,64,11,17
200,Tim Patrick,WR,DET,,82,14,17
201,Gus Edwards,RB,LAC,,65,12,17
202,Evan Stewart,WR,,,83,14,17
203,Ja'Tavion Sanders,TE,CAR,,26,6,17
204,Trevor Etienne,RB,,,66,12,17
205,Alexander Mattison,RB,LV,,67,12,18
206,Noah Fant,TE,SEA,,27,6,18
207,Joshua Palmer,WR,LAC,,84,14,18
208,Devin Singletary,RB,NYG,,68,12,18
209,Taysom Hill,TE,NO,,28,6,18
210,Travis Hunter,WR,,,85,14,18
211,Gabe Davis,WR,JAC,,86,14,18
212,Ollie Gordon II,RB,,,69,12,18
213,Aaron Rodgers,QB,NYJ,,30,6,18
214,Nick Westbrook-Ikhine,WR,TEN,,87,14,18
215,J.J. McCarthy,QB,MIN,,31,7,18
216,Xavier Restrepo,WR,,,88,14,18
217,Cam Akers,RB,MIN,,70,12,19
218,Mike Gesicki,TE,CIN,,29,6,19
219,Calvin Austin III,WR,PIT,,89,15,19
220,Devin Neal,RB,,,71,12,19
221,Jalen Tolbert,WR,DAL,,90,15,19
222,Harold Fannin Jr.,TE,,,30,6,19
223,Kyren Lacy,WR,,,91,15,19
224,Noah Gray,TE,KC,,31,7,19
225,Zack Moss,RB,CIN,,72,12,19
226,Justice Hill,RB,BAL,,73,13,19
227,Kareem Hunt,RB,KC,,74,13,19
228,Elic Ayomanor,WR,,,92,15,19
229,Christian Watson,WR,GB,,93,15,20
230,Darius Slayton,WR,NYG,,94,15,20
231,Will Dissly,TE,LAC,,32,7,20
232,Ameer Abdullah,RB,LV,,75,13,20
233,Mike Williams,WR,PIT,,95,15,20
234,Oronde Gadsden II,TE,,,33,7,20
235,Roman Wilson,WR,PIT,,96,15,20
236,Tyler Lockett,WR,SEA,,97,16,20
237,Tez Johnson,WR,,,98,16,20
238,Donovan Edwards,RB,,,76,13,20
239,John Metchie III,WR,HOU,,99,16,20
240,Ty Chandler,RB,MIN,,77,13,20
241,Tank Dell,WR,HOU,,100,16,21
242,Khalil Herbert,RB,CIN,,78,13,21
243,Theo Johnson,TE,NYG,,34,7,21
244,Keaton Mitchell,RB,BAL,,79,13,21
245,Raheim Sanders,RB,,,80,13,21
246,Luke McCaffrey,WR,WAS,,101,16,21
247,Will Levis,QB,TEN,,32,7,21
248,Raheem Mostert,RB,MIA,,81,14,21
249,Jermaine Burton,WR,CIN,,102,16,21
250,Tre Tucker,WR,LV,,103,16,21
251,Parker Washington,WR,JAC,,104,16,21
252,Elijah Mitchell,RB,SF,,82,14,21
253,Tory Horton,WR,,,105,17,22
254,Juwan Johnson,TE,NO,,35,7,22
255,Jalen Nailor,WR,MIN,,106,17,22
256,Daniel Jones,QB,MIN,,33,7,22
257,Chris Brooks,RB,GB,,83,14,22
258,Dameon Pierce,RB,HOU,,84,14,22
259,Jalen Royals,WR,,,107,17,22
260,Theo Wease,WR,,,108,17,22
261,Zamir White,RB,LV,,85,14,22
262,Antwane Wells,WR,,,109,17,22
263,RJ Harvey,RB,,,86,14,22
264,Logan Thomas,TE,,,36,8,22
265,Chris Rodriguez Jr.,RB,WAS,,87,14,23
266,Ty Johnson,RB,BUF,,88,14,23
267,Trey Sermon,RB,IND,,89,15,23
268,Isaiah Davis,RB,NYJ,,90,15,23
269,Deshaun Watson,QB,CLE,,34,7,23
270,Luke Lachey,TE,,,37,8,23
271,Tyler Conklin,TE,NYJ,,38,8,23
272,Jaydn Ott,RB,,,91,15,23
273,Ben Sinnott,TE,WAS,,39,8,23
274,Deion Burks,WR,,,110,17,23
275,Justin Fields,QB,PIT,,35,7,23
276,Demarcus Robinson,WR,LAR,,111,17,23
277,Tahj Brooks,RB,,,92,15,24
278,Will Shipley,RB,PHI,,93,15,24
279,Aidan O'Connell,QB,LV,,36,8,24
280,Jonathon Brooks,RB,CAR,,94,15,24
281,D'Ernest Johnson,RB,JAC,,95,15,24
282,Michael Mayer,TE,LV,,40,8,24
283,Kirk Cousins,QB,ATL,,37,8,24
284,Julian Fleming,WR,,,112,17,24
285,Ja'Quinden Jackson,RB,,,96,15,24
286,Kaleb Johnson,RB,,,97,16,24
287,Dawson Knox,TE,BUF,,41,9,24
288,Phil Mafah,RB,,,98,16,24
289,Ezekiel Elliott,RB,,,99,16,25
290,Sean Tucker,RB,TB,,100,16,25
291,Emanuel Wilson,RB,GB,,101,16,25
292,Chris Tyree,RB,,,102,16,25
293,Kalel Mullings,RB,,,103,16,25
294,Jalen Milroe,QB,,,38,8,25
295,Jameis Winston,QB,CLE,,39,8,25
296,Gardner Minshew II,QB,LV,,40,8,25
