SleeperId,Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
4984,1,Josh Allen,QB,,,1,1,1
11564,2,Drake Maye,QB,,,2,1,1
9509,3,Bijan Robinson,RB,,,1,1,1
7564,4,Ja'Marr Chase,WR,,,1,1,1
9488,5,Jaxon Smith-Njigba,WR,,,2,1,1
9493,6,Puka Nacua,WR,,,3,1,1
9221,7,Jahmyr Gibbs,RB,,,2,1,1
11566,8,Jayden Daniels,QB,,,3,1,1
11604,9,Brock Bowers,TE,,,1,1,1
4881,10,Lamar Jackson,QB,,,4,1,1
8130,11,Trey McBride,TE,,,2,1,1
11632,12,Malik Nabers,WR,,,4,1,1
6770,13,Joe Burrow,QB,,,5,1,2
7547,14,Amon-Ra St. Brown,WR,,,5,1,2
13287,15,Jeremiyah Love,RB,,,3,1,2
6794,16,Justin Jefferson,WR,,,6,2,2
12527,17,Ashton Jeanty,RB,,,4,1,2
11560,18,Caleb Williams,QB,,,6,2,2
6786,19,CeeDee Lamb,WR,,,7,2,2
9226,20,De'Von Achane,RB,,,5,1,2
8112,21,Drake London,WR,,,8,2,2
6904,22,Jalen Hurts,QB,,,7,2,2
5889,23,Bryce Love,RB,,,6,2,2
12507,24,Omarion Hampton,RB,,,7,2,2
4046,25,Patrick Mahomes,QB,,,8,2,3
6797,26,Justin Herbert,QB,,,9,2,3
12508,27,Jaxson Dart,QB,,,10,2,3
6813,28,Jonathan Taylor,RB,,,8,2,3
12526,29,Tetairoa McMillan,WR,,,9,2,3
13269,30,Fernando Mendoza,QB,,,11,3,3
13294,31,Makai Lemon,WR,,,10,2,3
12786,32,Anthony Landphere,TE,,,3,1,3
7523,33,Trevor Lawrence,QB,,,12,3,3
12517,34,Colston Loveland,TE,,,4,1,3
7569,35,Nico Collins,WR,,,11,3,3
8138,36,James Cook,RB,,,9,2,3
11563,37,Bo Nix,QB,,,13,3,4
13279,38,Carnell Tate,WR,,,12,3,4
8137,39,George Pickens,WR,,,13,3,4
8183,40,Brock Purdy,QB,,,14,3,4
12518,41,Tyler Warren,TE,,,5,1,4
8144,42,Chris Olave,WR,,,14,3,4
12529,43,TreVeyon Henderson,RB,,,10,2,4
8146,44,Garrett Wilson,WR,,,15,3,4
12834,45,Jimmy Bell,TE,,,6,2,4
4038,46,John Ross,WR,,,16,4,4
12514,47,Emeka Egbuka,WR,,,17,4,4
4034,48,Christian McCaffrey,RB,,,11,3,4
10229,49,Rashee Rice,WR,,,18,4,5
11584,50,Bucky Irving,RB,,,12,3,5
13281,51,Jordyn Tyson,WR,,,19,4,5
TEN,52,Tennessee Titans,DEF,,,0,1,5
9224,53,Chase Brown,RB,,,13,3,5
3294,54,Dak Prescott,QB,,,15,3,5
11635,55,Ladd McConkey,WR,,,20,4,5
8155,56,Breece Hall,RB,,,14,3,5
6804,57,Jordan Love,QB,,,16,4,5
12506,58,Harold Fannin,TE,,,7,2,5
5272,59,Greg Joseph,K,,,0,1,5
12512,60,Quinshon Judkins,RB,,,15,3,5
13330,61,Kenyon Sadiq,TE,,,8,2,6
4866,62,Saquon Barkley,RB,,,16,4,6
11628,63,Marvin Harrison,WR,,,21,5,6
9484,64,Tucker Kraft,TE,,,9,2,6
11620,65,Rome Odunze,WR,,,22,5,6
11631,66,Brian Thomas,WR,,,23,5,6
4892,67,Baker Mayfield,QB,,,17,4,6
5859,68,A.J. Brown,WR,,,24,5,6
12519,69,Luther Burden,WR,,,25,5,6
8150,70,Kyren Williams,RB,,,17,4,6
6801,71,Tee Higgins,WR,,,26,6,6
10859,72,Sam LaPorta,TE,,,10,2,6
8151,73,Kenneth Walker,RB,,,18,4,7
13345,74,Jonah Coleman,RB,,,19,4,7
12481,75,Cam Skattebo,RB,,,20,4,7
9758,76,C.J. Stroud,QB,,,18,4,7
3163,77,Jared Goff,QB,,,19,4,7
13346,78,Denzel Boston,WR,,,27,6,7
12522,79,Cam Ward,QB,,,20,4,7
9997,80,Zay Flowers,WR,,,28,6,7
8148,81,Jameson Williams,WR,,,29,6,7
5850,82,Josh Jacobs,RB,,,21,5,7
12489,83,RJ Harvey,RB,,,22,5,7
13298,84,KC Concepcion,WR,,,30,6,7
7553,85,Kyle Pitts,TE,,,11,3,8
12545,86,Tyler Shough,QB,,,21,5,8
8289,87,Player 8289,UNK,,,0,1,8
8259,88,Cameron Dicker,K,,,0,1,8
4943,89,Sam Darnold,QB,,,22,5,8
7525,90,DeVonta Smith,WR,,,31,7,8
4964,91,Player 4964,UNK,,,0,1,8
7588,92,Javonte Williams,RB,,,23,5,8
5991,93,Player 5991,UNK,,,0,1,8
7543,94,Travis Etienne,RB,,,24,5,8
7526,95,Jaylen Waddle,WR,,,32,7,8
13275,96,Ty Simpson,QB,,,23,5,8
8937,97,Parker White,K,,,0,1,9
3973,98,Player 3973,UNK,,,0,1,9
SEA,99,Seattle Seahawks,DEF,,,0,1,9
3198,100,Derrick Henry,RB,,,25,5,9
