Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
1,Ja'Marr Chase,WR,CIN,,1,1,1
2,Justin Jefferson,WR,MIN,,2,1,1
3,Brock Bowers,TE,LV,,1,1,1
4,Bijan Robinson,RB,ATL,,1,1,1
5,Jahmyr Gibbs,RB,DET,,2,1,1
6,Josh Allen,QB,BUF,,1,1,1
7,Malik Nabers,WR,NYG,,3,1,1
8,CeeDee Lamb,WR,DAL,,4,1,1
9,Jayden Daniels,QB,WAS,,2,1,1
10,Amon-Ra St. Brown,WR,DET,,5,1,1
11,Puka Nacua,WR,LAR,,6,2,1
12,Brian Thomas,WR,JAX,,7,2,1
13,Lamar Jackson,QB,BAL,,3,1,2
14,Trey McBride,TE,ARI,,2,1,2
15,Nico Collins,WR,HOU,,8,2,2
16,Ashton Jeanty,RB,,,3,1,2
17,Saquon Barkley,RB,PHI,,4,1,2
18,Drake London,WR,ATL,,9,2,2
19,Marvin Harrison,WR,ARI,,10,2,2
20,Ladd McConkey,WR,LAC,,11,3,2
21,Joe Burrow,QB,CIN,,4,1,2
22,De'Von Achane,RB,MIA,,5,1,2
23,Jalen Hurts,QB,PHI,,5,1,2
24,Garrett Wilson,WR,NYJ,,12,3,2
25,Jaxon Smith-Njigba,WR,SEA,,13,3,3
26,A.J. Brown,WR,PHI,,14,3,3
27,Breece Hall,RB,NYJ,,6,2,3
28,Rashee Rice,WR,KC,,15,3,3
29,Sam LaPorta,TE,DET,,3,1,3
30,Bucky Irving,RB,TB,,7,2,3
31,Tetairoa McMillan,WR,,,16,4,3
32,Jonathan Taylor,RB,IND,,8,2,3
33,Kyren Williams,RB,LAR,,9,2,3
34,Tee Higgins,WR,CIN,,17,4,3
35,Rome Odunze,WR,CHI,,18,4,3
36,James Cook,RB,BUF,,10,2,3
37,Patrick Mahomes,QB,KC,,6,2,4
38,Omarion Hampton,RB,,,11,3,4
39,Josh Jacobs,RB,GB,,12,3,4
40,Christian McCaffrey,RB,SF,,13,3,4
41,Justin Herbert,QB,LAC,,7,2,4
42,TreVeyon Henderson,RB,,,14,3,4
43,DeVonta Smith,WR,PHI,,19,4,4
44,Caleb Williams,QB,CHI,,8,2,4
45,Chase Brown,RB,CIN,,15,3,4
46,Drake Maye,QB,NE,,9,2,4
47,Chris Olave,WR,NO,,20,4,4
48,C.J. Stroud,QB,HOU,,10,2,4
49,Xavier Worthy,WR,KC,,21,5,5
50,Zay Flowers,WR,BAL,,22,5,5
51,Bo Nix,QB,DEN,,11,3,5
52,DJ Moore,WR,CHI,,23,5,5
53,Kenneth Walker,RB,SEA,,16,4,5
54,Tyler Warren,TE,,,4,1,5
55,Derrick Henry,RB,BAL,,17,4,5
56,Jordan Addison,WR,MIN,,24,5,5
57,T.J. Hockenson,TE,MIN,,5,1,5
58,Terry McLaurin,WR,WAS,,25,5,5
59,Jaylen Waddle,WR,MIA,,26,6,5
60,Luther Burden,WR,,,27,6,5
61,Jordan Love,QB,GB,,12,3,6
62,Tyreek Hill,WR,MIA,,28,6,6
63,George Pickens,WR,PIT,,29,6,6
64,George Kittle,TE,SF,,6,2,6
65,Chuba Hubbard,RB,CAR,,18,4,6
66,DK Metcalf,WR,PIT,,30,6,6
67,Jameson Williams,WR,DET,,31,7,6
68,Emeka Egbuka,WR,,,32,7,6
69,Brandon Aiyuk,WR,SF,,33,7,6
70,Quinshon Judkins,RB,,,19,4,6
71,Joe Mixon,RB,HOU,,20,4,6
72,Kyler Murray,QB,ARI,,13,3,6
