Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
1,Ja'Marr Chase,WR,CIN,,1,1,1
2,Saquon Barkley,RB,PHI,,1,1,1
3,Justin Jefferson,WR,MIN,,2,1,1
4,Bijan Robinson,RB,ATL,,2,1,1
5,CeeDee Lamb,WR,DAL,,3,1,1
6,Puka Nacua,WR,LAR,,4,1,1
7,Amon-Ra St. Brown,WR,DET,,5,1,1
8,Jahmyr Gibbs,RB,DET,,3,1,1
9,Nico Collins,WR,HOU,,6,2,1
10,Malik Nabers,WR,NYG,,7,2,1
11,Drake London,WR,ATL,,8,2,1
12,Brian Thomas,WR,JAX,,9,2,1
13,A.J. Brown,WR,PHI,,10,2,2
14,Derrick Henry,RB,BAL,,4,1,2
15,De'Von Achane,RB,MIA,,5,1,2
16,Brock Bowers,TE,LV,,1,1,2
17,Tyreek Hill,WR,MIA,,11,3,2
18,Jaxon Smith-Njigba,WR,SEA,,12,3,2
19,Trey McBride,TE,ARI,,2,1,2
20,Ladd McConkey,WR,LAC,,13,3,2
21,Tee Higgins,WR,CIN,,14,3,2
22,Josh Allen,QB,BUF,,1,1,2
23,Bucky Irving,RB,TB,,6,2,2
24,Lamar Jackson,QB,BAL,,2,1,2
25,Garrett Wilson,WR,NYJ,,15,3,3
26,Josh Jacobs,RB,GB,,7,2,3
27,Terry McLaurin,WR,WAS,,16,4,3
28,Christian McCaffrey,RB,SF,,8,2,3
29,Jonathan Taylor,RB,IND,,9,2,3
30,Mike Evans,WR,TB,,17,4,3
31,Jayden Daniels,QB,WAS,,3,1,3
32,Breece Hall,RB,NYJ,,10,2,3
33,Chase Brown,RB,CIN,,11,3,3
34,Davante Adams,WR,LAR,,18,4,3
35,Marvin Harrison,WR,ARI,,19,4,3
36,DJ Moore,WR,CHI,,20,4,3
37,Ashton Jeanty,RB,,,12,3,4
38,Kyren Williams,RB,LAR,,13,3,4
39,T.J. Hockenson,TE,MIN,,3,1,4
40,Jalen Hurts,QB,PHI,,4,1,4
41,James Cook,RB,BUF,,14,3,4
42,Kenneth Walker,RB,SEA,,15,3,4
43,Zay Flowers,WR,BAL,,21,5,4
44,Rashee Rice,WR,KC,,22,5,4
45,Courtland Sutton,WR,DEN,,23,5,4
46,Chris Olave,WR,NO,,24,5,4
47,Alvin Kamara,RB,NO,,16,4,4
48,Joe Burrow,QB,CIN,,5,1,4
49,DK Metcalf,WR,PIT,,25,5,5
50,Chuba Hubbard,RB,CAR,,17,4,5
51,Jaylen Waddle,WR,MIA,,26,6,5
52,Joe Mixon,RB,HOU,,18,4,5
53,George Kittle,TE,SF,,4,1,5
54,James Conner,RB,ARI,,19,4,5
55,DeVonta Smith,WR,PHI,,27,6,5
56,Chris Godwin,WR,TB,,28,6,5
57,Jordan Addison,WR,MIN,,29,6,5
58,Jameson Williams,WR,DET,,30,6,5
59,George Pickens,WR,PIT,,31,7,5
60,David Montgomery,RB,DET,,20,4,5
61,Baker Mayfield,QB,TB,,6,2,6
62,Omarion Hampton,RB,,,21,5,6
63,Patrick Mahomes,QB,KC,,7,2,6
64,Jerry Jeudy,WR,CLE,,32,7,6
65,Xavier Worthy,WR,KC,,33,7,6
66,Sam LaPorta,TE,DET,,5,1,6
67,Isiah Pacheco,RB,KC,,22,5,6
68,Tyrone Tracy,RB,NYG,,23,5,6
69,Najee Harris,RB,LAC,,24,5,6
70,Aaron Jones,RB,MIN,,25,5,6
71,Tony Pollard,RB,TEN,,26,6,6
72,Brandon Aiyuk,WR,SF,,34,7,6
73,Rome Odunze,WR,CHI,,35,7,7
74,Khalil Shakir,WR,BUF,,36,8,7
75,Jared Goff,QB,DET,,8,2,7
76,Jaylen Warren,RB,PIT,,27,6,7
77,Jonnu Smith,TE,MIA,,6,2,7
78,Mark Andrews,TE,BAL,,7,2,7
79,Kyler Murray,QB,ARI,,9,2,7
80,Justin Herbert,QB,LAC,,10,2,7
81,Jakobi Meyers,WR,LV,,37,8,7
82,Brian Robinson,RB,WAS,,28,6,7
83,Calvin Ridley,WR,TEN,,38,8,7
84,D'Andre Swift,RB,CHI,,29,6,7
85,Travis Kelce,TE,KC,,8,2,8
