SleeperId,Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
4984,1,Josh Allen,QB,,,1,1,1
11564,2,Drake Maye,QB,,,2,1,1
7564,3,Ja'Marr Chase,WR,,,1,1,1
9509,4,Bijan Robinson,RB,,,1,1,1
6770,5,Joe Burrow,QB,,,3,1,1
4881,6,Lamar Jackson,QB,,,4,1,1
9493,7,Puka Nacua,WR,,,2,1,1
9221,8,Jahmyr Gibbs,RB,,,2,1,1
9488,9,Jaxon Smith-Njigba,WR,,,3,1,1
11566,10,Jayden Daniels,QB,,,5,1,1
11604,11,Brock Bowers,TE,,,1,1,1
8130,12,Trey McBride,TE,,,2,1,1
7547,13,Amon-Ra St. Brown,WR,,,4,1,2
11632,14,Malik Nabers,WR,,,5,1,2
11560,15,Caleb Williams,QB,,,6,2,2
6794,16,Justin Jefferson,WR,,,6,2,2
6786,17,CeeDee Lamb,WR,,,7,2,2
6904,18,Jalen Hurts,QB,,,7,2,2
12527,19,Ashton Jeanty,RB,,,3,1,2
8112,20,Drake London,WR,,,8,2,2
12508,21,Jaxson Dart,QB,,,8,2,2
6797,22,Justin Herbert,QB,,,9,2,2
9226,23,De'Von Achane,RB,,,4,1,2
12507,24,Omarion Hampton,RB,,,5,1,2
6813,25,Jonathan Taylor,RB,,,6,2,3
7523,26,Trevor Lawrence,QB,,,10,2,3
4046,27,Patrick Mahomes,QB,,,11,3,3
12526,28,Tetairoa McMillan,WR,,,9,2,3
7569,29,Nico Collins,WR,,,10,2,3
8144,30,Chris Olave,WR,,,11,3,3
11563,31,Bo Nix,QB,,,12,3,3
12529,32,TreVeyon Henderson,RB,,,7,2,3
8183,33,Brock Purdy,QB,,,13,3,3
11635,34,Ladd McConkey,WR,,,12,3,3
12517,35,Colston Loveland,TE,,,3,1,3
8146,36,Garrett Wilson,WR,,,13,3,3
8138,37,James Cook,RB,,,8,2,4
8137,38,George Pickens,WR,,,14,3,4
5272,39,Greg Joseph,K,,,0,1,4
11092,40,B.T. Potter,K,,,0,1,4
12518,41,Tyler Warren,TE,,,4,1,4
12514,42,Emeka Egbuka,WR,,,15,3,4
11584,43,Bucky Irving,RB,,,9,2,4
4034,44,Christian McCaffrey,RB,,,10,2,4
4866,45,Saquon Barkley,RB,,,11,3,4
6804,46,Jordan Love,QB,,,14,3,4
8155,47,Breece Hall,RB,,,12,3,4
9758,48,C.J. Stroud,QB,,,15,3,4
3294,49,Dak Prescott,QB,,,16,4,5
5859,50,A.J. Brown,WR,,,16,4,5
10229,51,Rashee Rice,WR,,,17,4,5
9224,52,Chase Brown,RB,,,13,3,5
6801,53,Tee Higgins,WR,,,18,4,5
12506,54,Harold Fannin,TE,,,5,1,5
9484,55,Tucker Kraft,TE,,,6,2,5
11628,56,Marvin Harrison,WR,,,19,4,5
12512,57,Quinshon Judkins,RB,,,14,3,5
8148,58,Jameson Williams,WR,,,20,4,5
10859,59,Sam LaPorta,TE,,,7,2,5
8150,60,Kyren Williams,RB,,,15,3,5
11620,61,Rome Odunze,WR,,,21,5,6
12481,62,Cam Skattebo,RB,,,16,4,6
11631,63,Brian Thomas,WR,,,22,5,6
4892,64,Baker Mayfield,QB,,,17,4,6
7553,65,Kyle Pitts,TE,,,8,2,6
3163,66,Jared Goff,QB,,,18,4,6
9997,67,Zay Flowers,WR,,,23,5,6
8259,68,Cameron Dicker,K,,,0,1,6
12489,69,RJ Harvey,RB,,,17,4,6
12519,70,Luther Burden,WR,,,24,5,6
8937,71,Parker White,K,,,0,1,6
8151,72,Kenneth Walker,RB,,,18,4,6
4227,73,Harrison Butker,K,,,0,1,7
7588,74,Javonte Williams,RB,,,19,4,7
12493,75,Oronde Gadsden,TE,,,9,2,7
12522,76,Cam Ward,QB,,,19,4,7
4943,77,Sam Darnold,QB,,,20,4,7
5850,78,Josh Jacobs,RB,,,20,4,7
7525,79,DeVonta Smith,WR,,,25,5,7
7526,80,Jaylen Waddle,WR,,,26,6,7
9228,81,Bryce Young,QB,,,21,5,7
12545,82,Tyler Shough,QB,,,22,5,7
8932,83,Lucas Havrisik,K,,,0,1,7
7543,84,Travis Etienne,RB,,,21,5,7
10236,85,Dalton Kincaid,TE,,,10,2,8
5927,86,Terry McLaurin,WR,,,27,6,8
8110,87,Jake Ferguson,TE,,,11,3,8
11786,88,Cam Little,K,,,0,1,8
3198,89,Derrick Henry,RB,,,22,5,8
8167,90,Christian Watson,WR,,,28,6,8
12530,91,Travis Hunter,WR,,,29,6,8
11638,92,Ricky Pearsall,WR,,,30,6,8
11559,93,Michael Penix,QB,,,23,5,8
10232,94,Michael Wilson,WR,,,31,7,8
5846,95,DK Metcalf,WR,,,32,7,8
9756,96,Jordan Addison,WR,,,33,7,8
899,97,Dan Bailey,K,,,0,1,9
3451,98,Ka'imi Fairbairn,K,,,0,1,9
6819,99,Michael Pittman,WR,,,34,7,9
9480,100,Brenton Strange,TE,,,12,3,9
