first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Puka,Nacua,WR,,6,2025-10-12,Sun-Mon,LAR,BAL,-7.5,44.5,26,8700,31,28.6,22.6,28.6,24.7,2.83
Christian,McCaffrey,RB,,6,2025-10-12,Sun-Mon,SF,TB,+3.5,47.5,22,8400,12,24.8,20.2,24.8,23.7,2.82
Patrick,Mahomes,QB,,6,2025-10-12,Sun-Mon,KC,DET,-2.5,51.5,27,6500,16,24.1,23.6,24.1,23.4,3.61
Josh,Allen,QB,,6,2025-10-13,Sun-Mon,BUF,ATL,-3.5,50.5,27,7700,3,24.8,21.1,24.8,23.1,3.01
Jayden,Daniels,QB,,6,2025-10-13,Sun-Mon,WAS,CHI,-5.5,50.5,28,6900,28,21.2,22.8,19.0,22.7,3.29
Jonathan,Taylor,RB,,6,2025-10-12,Sun-Mon,IND,ARI,-7.5,46.5,27,8500,18,25.5,26.0,25.5,21.5,2.52
Bijan,Robinson,RB,,6,2025-10-13,Sun-Mon,ATL,BUF,+3.5,50.5,23.5,8200,20,26.3,24.7,24.4,21.3,2.59
Baker,Mayfield,QB,,6,2025-10-12,Sun-Mon,TB,SF,-3.5,47.5,25.5,6600,12,21.9,24.2,21.9,20.5,3.11
Josh,Jacobs,RB,,6,2025-10-12,Sun-Mon,GB,CIN,-14.5,44.5,29.5,7300,32,18.7,18.5,18.1,20.3,2.78
Jaxon,Smith-Njigba,WR,,6,2025-10-12,Sun-Mon,SEA,JAX,-0.5,47.5,24,7600,23,21.7,18.2,21.7,20.3,2.68
Justin,Herbert,QB,,6,2025-10-12,Sun-Mon,LAC,MIA,-4.5,43.5,24,6300,30,19.9,19.9,19.9,20.2,3.20
De'Von,Achane,RB,,6,2025-10-12,Sun-Mon,MIA,LAC,+4.5,43.5,19.5,7800,7,18.5,18.7,18.5,20.0,2.56
Drake,Maye,QB,,6,2025-10-12,Sun-Mon,NE,NO,-3.5,45.5,24.5,5900,25,19.9,16.7,19.9,19.7,3.34
Caleb,Williams,QB,,6,2025-10-13,Sun-Mon,CHI,WAS,+5.5,50.5,22.5,5600,22,19.0,18.2,21.0,19.5,3.47
Daniel,Jones,QB,,6,2025-10-12,Sun-Mon,IND,ARI,-7.5,46.5,27,6000,6,20.0,16.7,20.0,19.4,3.24
Jordan,Love,QB,,6,2025-10-12,Sun-Mon,GB,CIN,-14.5,44.5,29.5,6200,24,17.1,14.4,19.8,19.3,3.11
Amon-Ra,St. Brown,WR,Q,6,2025-10-12,Sun-Mon,DET,KC,+2.5,51.5,24.5,7900,8,23.7,23.7,23.7,19.0,2.41
Javonte,Williams,RB,,6,2025-10-12,Sun-Mon,DAL,CAR,-3.5,49.5,26.5,6400,15,21.5,14.3,21.5,18.9,2.95
Matthew,Stafford,QB,,6,2025-10-12,Sun-Mon,LAR,BAL,-7.5,44.5,26,6400,31,21.3,17.1,21.3,18.4,2.88
Dak,Prescott,QB,,6,2025-10-12,Sun-Mon,DAL,CAR,-3.5,49.5,26.5,6500,8,22.1,18.3,22.1,18.4,2.84
Jahmyr,Gibbs,RB,,6,2025-10-12,Sun-Mon,DET,KC,+2.5,51.5,24.5,8000,13,19.1,26.9,19.1,18.4,2.30
Ashton,Jeanty,RB,,6,2025-10-12,Sun-Mon,LV,TEN,-4.5,41.5,23,6900,30,15.8,15.8,15.8,18.4,2.67
Rachaad,White,RB,,6,2025-10-12,Sun-Mon,TB,SF,-3.5,47.5,25.5,6000,16,10.3,8.6,10.3,18.3,3.06
Kyren,Williams,RB,,6,2025-10-12,Sun-Mon,LAR,BAL,-7.5,44.5,26,6300,31,17.3,17.4,17.3,18.1,2.87
Trevor,Lawrence,QB,,6,2025-10-12,Sun-Mon,JAX,SEA,+0.5,47.5,23.5,5100,19,16.3,15.9,16.3,17.9,3.51
