Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
1,Josh Allen,QB,BUF,,1,1,1
2,Lamar Jackson,QB,BAL,,2,1,1
3,Jayden Daniels,QB,WAS,,3,1,1
4,Jalen Hurts,QB,PHI,,4,1,1
5,Joe Burrow,QB,CIN,,5,1,1
6,Patrick Mahomes II,QB,KC,,6,2,1
7,Saquon Barkley,RB,PHI,,1,1,1
8,Baker Mayfield,QB,TB,,7,2,1
9,Ja'Marr Chase,WR,CIN,,1,1,1
10,Justin Jefferson,WR,MIN,,2,1,1
11,Jared Goff,QB,DET,,8,2,1
12,CeeDee Lamb,WR,DAL,,3,1,1
13,Bijan Robinson,RB,ATL,,2,1,2
14,Puka Nacua,WR,LAR,,4,1,2
15,Amon-Ra St. Brown,WR,DET,,5,1,2
16,Jordan Love,QB,GB,,9,2,2
17,Jahmyr Gibbs,RB,DET,,3,1,2
18,Justin Herbert,QB,LAC,,10,2,2
19,Malik Nabers,WR,NYG,,6,2,2
20,Nico Collins,WR,HOU,,7,2,2
21,De'Von Achane,RB,MIA,,4,1,2
22,Kyler Murray,QB,ARI,,11,3,2
23,Brock Purdy,QB,SF,,12,3,2
24,Brian Thomas Jr.,WR,JAC,,8,2,2
25,Bo Nix,QB,DEN,,13,3,3
26,Derrick Henry,RB,BAL,,5,1,3
27,A.J. Brown,WR,PHI,,9,2,3
28,Anthony Richardson,QB,IND,,14,3,3
29,Tyreek Hill,WR,MIA,,10,2,3
30,Josh Jacobs,RB,GB,,6,2,3
31,Caleb Williams,QB,CHI,,15,3,3
32,Tee Higgins,WR,CIN,,11,3,3
33,Bucky Irving,RB,TB,,7,2,3
34,Jaxon Smith-Njigba,WR,SEA,,12,3,3
35,Christian McCaffrey,RB,SF,,8,2,3
36,Drake London,WR,ATL,,13,3,3
37,Tua Tagovailoa,QB,MIA,,16,4,4
38,Ladd McConkey,WR,LAC,,14,3,4
39,Jonathan Taylor,RB,IND,,9,2,4
40,Terry McLaurin,WR,WAS,,15,3,4
41,Breece Hall,RB,NYJ,,10,2,4
42,Brock Bowers,TE,LV,,1,1,4
43,Dak Prescott,QB,DAL,,17,4,4
44,Kyren Williams,RB,LAR,,11,3,4
45,Garrett Wilson,WR,NYJ,,16,4,4
46,Trey McBride,TE,ARI,,2,1,4
47,Mike Evans,WR,TB,,17,4,4
48,DJ Moore,WR,CHI,,18,4,4
49,Davante Adams,WR,NYJ,,19,4,5
50,Chase Brown,RB,CIN,,12,3,5
51,Rashee Rice,WR,KC,,20,4,5
52,Sam Darnold,QB,MIN,,18,4,5
53,Zay Flowers,WR,BAL,,21,5,5
54,Courtland Sutton,WR,DEN,,22,5,5
55,James Cook,RB,BUF,,13,3,5
56,DK Metcalf,WR,SEA,,23,5,5
57,Kenneth Walker III,RB,SEA,,14,3,5
58,George Pickens,WR,PIT,,24,5,5
59,C.J. Stroud,QB,HOU,,19,4,5
60,Alvin Kamara,RB,NO,,15,3,5
61,Jerry Jeudy,WR,CLE,,25,5,6
62,Jordan Addison,WR,MIN,,26,6,6
63,Chuba Hubbard,RB,CAR,,16,4,6
64,Chris Olave,WR,NO,,27,6,6
65,Joe Mixon,RB,HOU,,17,4,6
66,Jaylen Waddle,WR,MIA,,28,6,6
67,Drake Maye,QB,NE,,20,4,6
68,Marvin Harrison Jr.,WR,ARI,,29,6,6
69,James Conner,RB,ARI,,18,4,6
