Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
1,Patrick Mahomes,QB,KC,6,2,1,1
2,Josh Allen,QB,BUF,12,1,1,1
3,C.J. Stroud,QB,HOU,14,5,1,1
4,Jalen Hurts,QB,PHI,5,4,1,1
5,Justin Jefferson,WR,MIN,6,3,1,1
6,Lamar Jackson,QB,BAL,14,3,1,1
7,CeeDee Lamb,WR,DAL,7,2,1,1
8,Ja'Marr Chase,WR,CIN,12,4,1,1
9,Joe Burrow,QB,CIN,12,7,1,1
10,Amon-Ra St. Brown,WR,DET,5,5,1,1
11,Caleb Williams,QB,CHI,7,12,1,2
12,Bijan Robinson,RB,ATL,12,2,1,2
13,Anthony Richardson,QB,IND,14,6,1,2
14,Marvin Harrison,WR,ARI,11,8,1,2
15,Christian McCaffrey,RB,SF,9,1,1,2
16,Breece Hall,RB,NYJ,12,3,1,2
17,Jordan Love,QB,GB,10,10,1,2
18,Jahmyr Gibbs,RB,DET,5,5,1,2
19,Justin Herbert,QB,LAC,5,16,1,2
20,Puka Nacua,WR,LAR,6,9,1,2
21,Garrett Wilson,WR,NYJ,12,7,1,3
22,Tyreek Hill,WR,MIA,6,1,1,3
23,Kyler Murray,QB,ARI,11,9,2,3
24,A.J. Brown,WR,PHI,5,6,1,3
25,Sam LaPorta,TE,DET,5,2,1,3
26,Jonathan Taylor,RB,IND,14,6,1,3
27,Malik Nabers,WR,NYG,11,23,1,3
28,Jayden Daniels,QB,WAS,14,15,2,3
29,Trevor Lawrence,QB,JAX,12,17,2,3
30,Chris Olave,WR,NO,12,12,2,3
31,Brock Purdy,QB,SF,9,11,2,4
32,Travis Etienne,RB,JAX,12,8,1,4
33,Drake London,WR,ATL,12,11,2,4
34,Saquon Barkley,RB,PHI,5,4,1,4
35,Dak Prescott,QB,DAL,7,8,2,4
36,Jaylen Waddle,WR,MIA,6,18,2,4
37,Brandon Aiyuk,WR,SF,9,13,2,4
38,Kyren Williams,RB,LAR,6,7,1,4
39,Trey McBride,TE,ARI,11,4,1,4
40,Rome Odunze,WR,CHI,7,34,2,4
41,De'Von Achane,RB,MIA,6,10,1,5
42,Tua Tagovailoa,QB,MIA,6,13,2,5
43,Dalton Kincaid,TE,BUF,12,5,1,5
44,Michael Pittman,WR,IND,14,21,2,5
45,DeVonta Smith,WR,PHI,5,24,2,5
46,Nico Collins,WR,HOU,14,15,2,5
47,Brock Bowers,TE,LV,10,9,1,5
48,Jared Goff,QB,DET,5,14,2,5
49,Kyle Pitts,TE,ATL,12,7,1,5
50,Travis Kelce,TE,KC,6,1,1,5
51,Kenneth Walker,RB,SEA,10,17,1,6
52,DJ Moore,WR,CHI,7,19,2,6
53,Josh Jacobs,RB,GB,10,11,2,6
54,Isiah Pacheco,RB,KC,6,12,2,6
55,Rachaad White,RB,TB,11,13,2,6
56,Zay Flowers,WR,BAL,14,25,2,6
57,DK Metcalf,WR,SEA,10,22,3,6
58,Mark Andrews,TE,BAL,14,3,1,6
59,James Cook,RB,BUF,12,14,2,6
60,Tank Dell,WR,HOU,14,26,3,6
61,Tee Higgins,WR,CIN,12,29,3,7
62,Drake Maye,QB,NE,14,28,2,7
63,George Pickens,WR,PIT,9,27,3,7
64,Xavier Worthy,WR,KC,6,37,3,7
65,Jonathon Brooks,RB,CAR,11,31,2,7
66,Deebo Samuel,WR,SF,9,17,3,7
67,Jordan Addison,WR,MIN,6,39,3,7
68,Derrick Henry,RB,BAL,14,9,2,7
69,T.J. Hockenson,TE,MIN,6,14,1,7
70,Ladd McConkey,WR,LAC,5,40,3,7
71,D'Andre Swift,RB,CHI,7,19,2,8
72,Davante Adams,WR,LV,10,10,3,8
73,Brian Thomas,WR,JAX,12,47,3,8
74,J.J. McCarthy,QB,MIN,6,27,2,8
75,Jaxon Smith-Njigba,WR,SEA,10,45,4,8
76,Mike Evans,WR,TB,11,14,4,8
77,Stefon Diggs,WR,HOU,14,16,4,8
78,Rashee Rice,WR,KC,6,33,4,8
79,Joe Mixon,RB,HOU,14,15,2,8
80,Keon Coleman,WR,BUF,12,42,4,8
81,Jayden Reed,WR,GB,10,35,4,9
82,George Kittle,TE,SF,9,6,1,9
83,Trey Benson,RB,ARI,11,36,2,9
84,Bryce Young,QB,CAR,11,29,2,9
85,Cooper Kupp,WR,LAR,6,20,4,9
86,Rhamondre Stevenson,RB,NE,14,22,2,9
87,Alvin Kamara,RB,NO,12,16,3,9
88,Jake Ferguson,TE,DAL,7,11,1,9
89,Kirk Cousins,QB,ATL,12,19,3,9
90,Baker Mayfield,QB,TB,11,21,3,9
91,David Njoku,TE,CLE,10,10,2,10
92,Terry McLaurin,WR,WAS,14,32,4,10
93,Javonte Williams,RB,DEN,14,28,3,10
94,Evan Engram,TE,JAX,12,8,2,10
95,Zamir White,RB,LV,10,26,3,10
96,Deshaun Watson,QB,CLE,10,22,3,10
97,David Montgomery,RB,DET,5,21,3,10
98,Amari Cooper,WR,CLE,10,28,4,10
99,Bo Nix,QB,DEN,14,24,3,10
100,Will Levis,QB,TEN,5,23,3,10
101,Christian Kirk,WR,JAX,12,31,4,11
102,Najee Harris,RB,PIT,9,23,3,11
103,Tony Pollard,RB,TEN,5,24,3,11
104,Tyjae Spears,RB,TEN,5,34,3,11
105,Matthew Stafford,QB,LAR,6,20,3,11
106,Aaron Jones,RB,MIN,6,18,3,11
107,Chris Godwin,WR,TB,11,36,5,11
108,Ricky Pearsall,WR,SF,9,67,5,11
109,Xavier Legette,WR,CAR,11,58,5,11
110,Calvin Ridley,WR,TEN,5,38,5,11
111,Hollywood Brown,WR,KC,6,41,5,12
112,Christian Watson,WR,GB,10,46,5,12
113,Jaylen Warren,RB,PIT,9,32,3,12
114,Blake Corum,RB,LAR,6,40,3,12
115,Adonai Mitchell,WR,IND,14,54,5,12
