Redraft PPR ADP;Redraft SF ADP;Redraft Half PPR ADP;Dynasty PPR ADP;Dynasty SF ADP;Dynasty Half PPR ADP;Player Team;Player First Name;Player Last Name;Fantasy Player Position;Positional Rank
1.2;2.8;1.5;4.8;15.4;6.5;SF;Christian;McCaffrey;RB;RB1
2.7;6.1;2.1;9;22;10.2;MIA;Tyreek;Hill;WR;WR1
3.1;5.1;3.9;2.6;7.3;2.4;DAL;CeeDee;Lamb;WR;WR2
4.9;9.7;4.3;1.6;5.8;1.7;MIN;Justin;Jefferson;WR;WR3
5.6;10.5;5.6;3.6;8;3.9;CIN;Ja'Marr;Chase;WR;WR4
6.5;13.5;6.1;6.7;12.5;4.6;ATL;Bijan;Robinson;RB;RB2
6.8;11.1;6.2;5.2;10.2;5.9;DET;Amon-Ra;St. Brown;WR;WR5
8.8;12.3;8.6;7.2;16;7.3;NYJ;Breece;Hall;RB;RB3
9.1;15.2;9.1;13.5;23.8;13.9;PHI;A.J.;Brown;WR;WR6
11.7;20.5;13.3;12.3;21;12;NYJ;Garrett;Wilson;WR;WR7
12.6;22.5;12.1;17.7;34.7;19.5;PHI;Saquon;Barkley;RB;RB4
12.7;18.8;10.3;10.9;18.6;9.7;DET;Jahmyr;Gibbs;RB;RB5
13.9;23.9;11.8;14;26.6;14.3;IND;Jonathan;Taylor;RB;RB6
15.4;23.1;14;7.9;14.7;7.4;ARI;Marvin;Harrison;WR;WR8
16.9;28.4;17.8;23.8;38.7;22.8;LAR;Kyren;Williams;RB;RB7
17.3;17.7;15.9;11.2;20.2;11.3;LAR;Puka;Nacua;WR;WR9
17.6;33.5;20.7;58.2;73.3;61.2;LV;Davante;Adams;WR;WR10
18.4;30.7;16.3;15.3;31.6;17.4;JAX;Travis;Etienne;RB;RB8
19.7;31.6;19.4;24;33.1;23.3;ATL;Drake;London;WR;WR11
20.5;34.4;18.6;47;69.5;49.9;BAL;Derrick;Henry;RB;RB9
20.8;27.9;25.6;43.4;50.7;45.4;KC;Travis;Kelce;TE;TE1
22.2;1.5;20.2;21;2.6;21.7;BUF;Josh;Allen;QB;QB1
23.4;31.8;22.6;19;30.4;20.5;NO;Chris;Olave;WR;WR12
24.8;26.6;30;15.1;25.8;15.5;DET;Sam;LaPorta;TE;TE2
25;44.2;23;26;41.9;25;MIA;De'Von;Achane;RB;RB10
26.6;35.6;26.4;25;37;26;SF;Brandon;Aiyuk;WR;WR13
27.5;41.3;24;30.4;53.6;31.8;GB;Josh;Jacobs;RB;RB11
27.6;45.6;27.4;31.4;54.9;33;KC;Isiah;Pacheco;RB;RB12
29.4;42.1;29.9;63.1;76;63.3;TB;Mike;Evans;WR;WR14
