Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
1,Christian McCaffrey,RB,SF,9,1,1,1
2,Tyreek Hill,WR,MIA,6,1,1,1
3,CeeDee Lamb,WR,DAL,7,2,1,1
4,Justin Jefferson,WR,MIN,6,3,1,1
5,Ja'Marr Chase,WR,CIN,12,4,1,1
6,Bijan Robinson,RB,ATL,12,2,1,1
7,Amon-Ra St. Brown,WR,DET,5,5,1,1
8,Breece Hall,RB,NYJ,12,3,1,1
9,A.J. Brown,WR,PHI,5,6,1,1
10,Jahmyr Gibbs,RB,DET,5,5,1,1
11,Jonathan Taylor,RB,IND,14,6,1,2
12,Saquon Barkley,RB,PHI,5,4,1,2
13,Garrett Wilson,WR,NYJ,12,7,1,2
14,Marvin Harrison,WR,ARI,11,8,1,2
15,Puka Nacua,WR,LAR,6,9,1,2
16,Travis Etienne,RB,JAX,12,8,1,2
17,Kyren Williams,RB,LAR,6,7,1,2
18,Derrick Henry,RB,BAL,14,9,1,2
19,Drake London,WR,ATL,12,11,1,2
20,Josh Allen,QB,BUF,12,1,1,2
21,Davante Adams,WR,LV,10,10,2,3
22,Chris Olave,WR,NO,12,12,2,3
23,De'Von Achane,RB,MIA,6,10,1,3
24,Josh Jacobs,RB,GB,10,11,2,3
25,Travis Kelce,TE,KC,6,1,1,3
26,Brandon Aiyuk,WR,SF,9,13,2,3
27,Isiah Pacheco,RB,KC,6,12,2,3
28,Deebo Samuel,WR,SF,9,17,2,3
29,Mike Evans,WR,TB,11,14,2,3
30,Sam LaPorta,TE,DET,5,2,1,3
31,Jalen Hurts,QB,PHI,5,4,1,4
32,Patrick Mahomes,QB,KC,6,2,1,4
33,Nico Collins,WR,HOU,14,15,2,4
34,Stefon Diggs,WR,HOU,14,16,2,4
35,Jaylen Waddle,WR,MIA,6,18,2,4
36,Lamar Jackson,QB,BAL,14,3,1,4
37,Rachaad White,RB,TB,11,13,2,4
38,DJ Moore,WR,CHI,7,19,2,4
39,Cooper Kupp,WR,LAR,6,20,2,4
40,James Cook,RB,BUF,12,14,2,4
41,DK Metcalf,WR,SEA,10,22,3,5
42,Malik Nabers,WR,NYG,11,23,3,5
43,Joe Mixon,RB,HOU,14,15,2,5
44,Michael Pittman,WR,IND,14,21,3,5
45,Kenneth Walker,RB,SEA,10,17,2,5
46,C.J. Stroud,QB,HOU,14,5,1,5
47,DeVonta Smith,WR,PHI,5,24,3,5
48,Trey McBride,TE,ARI,11,4,1,5
49,Mark Andrews,TE,BAL,14,3,1,5
50,Alvin Kamara,RB,NO,12,16,2,5
51,Dalton Kincaid,TE,BUF,12,5,1,6
52,Zay Flowers,WR,BAL,14,25,3,6
53,Anthony Richardson,QB,IND,14,6,1,6
54,Tank Dell,WR,HOU,14,26,3,6
55,Amari Cooper,WR,CLE,10,28,3,6
56,Aaron Jones,RB,MIN,6,18,2,6
57,Tee Higgins,WR,CIN,12,29,3,6
58,George Kittle,TE,SF,9,6,1,6
59,James Conner,RB,ARI,11,20,2,6
60,George Pickens,WR,PIT,9,27,3,6
61,Kyle Pitts,TE,ATL,12,7,1,7
62,Joe Burrow,QB,CIN,12,7,1,7
63,David Montgomery,RB,DET,5,21,2,7
64,D'Andre Swift,RB,CHI,7,19,3,7
65,Keenan Allen,WR,CHI,7,30,3,7
66,Rhamondre Stevenson,RB,NE,14,22,3,7
67,Christian Kirk,WR,JAX,12,31,4,7
68,Terry McLaurin,WR,WAS,14,32,4,7
69,Najee Harris,RB,PIT,9,23,3,7
70,Kyler Murray,QB,ARI,11,9,1,7
71,Evan Engram,TE,JAX,12,8,1,8
72,Rome Odunze,WR,CHI,7,34,4,8
73,Zamir White,RB,LV,10,26,3,8
74,Jayden Reed,WR,GB,10,35,4,8
75,Raheem Mostert,RB,MIA,6,25,3,8
76,Xavier Worthy,WR,KC,6,37,4,8
77,Dak Prescott,QB,DAL,7,8,1,8
78,Tony Pollard,RB,TEN,5,24,3,8
79,Chris Godwin,WR,TB,11,36,4,8
80,Calvin Ridley,WR,TEN,5,38,4,8
81,Rashee Rice,WR,KC,6,33,4,9
82,Jordan Love,QB,GB,10,10,1,9
83,Brock Bowers,TE,LV,10,9,1,9
84,Jordan Addison,WR,MIN,6,39,4,9
85,Jake Ferguson,TE,DAL,7,11,1,9
86,Nick Chubb,RB,CLE,10,27,3,9
87,David Njoku,TE,CLE,10,10,2,9
88,Ladd McConkey,WR,LAC,5,40,4,9
89,Zack Moss,RB,CIN,12,29,3,9
90,Jonathon Brooks,RB,CAR,11,31,3,9
91,Javonte Williams,RB,DEN,14,28,3,10
92,Hollywood Brown,WR,KC,6,41,5,10
93,Jaylen Warren,RB,PIT,9,32,4,10
94,Diontae Johnson,WR,CAR,11,43,5,10
95,Austin Ekeler,RB,WAS,14,30,4,10
96,Devin Singletary,RB,NYG,11,33,4,10
97,Brock Purdy,QB,SF,9,11,2,10
98,Keon Coleman,WR,BUF,12,42,5,10
99,Caleb Williams,QB,CHI,7,12,2,10
100,Christian Watson,WR,GB,10,46,5,10
101,DeAndre Hopkins,WR,TEN,5,44,5,11
102,Jaxon Smith-Njigba,WR,SEA,10,45,5,11
103,Brian Robinson,RB,WAS,14,35,4,11
104,Gus Edwards,RB,LAC,5,37,4,11
105,Brian Thomas,WR,JAX,12,47,5,11
106,Tua Tagovailoa,QB,MIA,6,13,2,11
107,Dallas Goedert,TE,PHI,5,12,2,11
108,Tyjae Spears,RB,TEN,5,34,4,11
109,Trey Benson,RB,ARI,11,36,4,11
110,Ezekiel Elliott,RB,DAL,7,38,4,11
111,Jameson Williams,WR,DET,5,48,5,12
112,Jayden Daniels,QB,WAS,14,15,2,12
113,Jared Goff,QB,DET,5,14,2,12
114,Courtland Sutton,WR,DEN,14,49,5,12
115,Blake Corum,RB,LAR,6,40,4,12
116,Jerome Ford,RB,CLE,10,41,4,12
117,Chase Brown,RB,CIN,12,39,5,12
118,Dalton Schultz,TE,HOU,14,13,2,12
119,T.J. Hockenson,TE,MIN,6,14,2,12
120,Curtis Samuel,WR,BUF,12,50,5,12
121,Romeo Doubs,WR,GB,10,51,6,13
122,Tyler Lockett,WR,SEA,10,52,6,13
123,Justin Herbert,QB,LAC,5,16,2,13
124,Pat Freiermuth,TE,PIT,9,16,2,13
125,Adonai Mitchell,WR,IND,14,54,6,13
126,Khalil Shakir,WR,BUF,12,53,6,13
127,Trevor Lawrence,QB,JAX,12,17,2,13
128,Zach Charbonnet,RB,SEA,10,42,5,13
129,Cole Kmet,TE,CHI,7,15,2,13
130,Chuba Hubbard,RB,CAR,11,43,5,13
131,J.K. Dobbins,RB,LAC,5,44,5,14
132,Justin Tucker,K,BAL,14,,1,14
133,Harrison Butker,K,KC,6,,1,14
134,Brandon Aubrey,K,DAL,7,,1,14
135,Evan McPherson,K,CIN,12,,1,14
136,Younghoe Koo,K,ATL,12,,1,14
137,Jakobi Meyers,WR,LV,10,55,6,14
