Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
1,Josh Allen,QB,BUF,12,1,1,1
2,Christian McCaffrey,RB,SF,9,1,1,1
3,Patrick Mahomes,QB,KC,6,2,1,1
4,Jalen Hurts,QB,PHI,5,4,1,1
5,CeeDee Lamb,WR,DAL,7,2,1,1
6,Tyreek Hill,WR,MIA,6,1,1,1
7,Lamar Jackson,QB,BAL,14,3,1,1
8,C.J. Stroud,QB,HOU,14,5,1,1
9,Justin Jefferson,WR,MIN,6,3,1,1
10,Ja'Marr Chase,WR,CIN,12,4,1,1
11,Amon-Ra St. Brown,WR,DET,5,5,1,2
12,Breece Hall,RB,NYJ,12,3,1,2
13,Bijan Robinson,RB,ATL,12,2,1,2
14,Anthony Richardson,QB,IND,14,6,1,2
15,A.J. Brown,WR,PHI,5,6,1,2
16,Joe Burrow,QB,CIN,12,7,1,2
17,Puka Nacua,WR,LAR,6,9,1,2
18,Jahmyr Gibbs,RB,DET,5,5,1,2
19,Dak Prescott,QB,DAL,7,8,1,2
20,Garrett Wilson,WR,NYJ,12,7,1,2
21,Kyler Murray,QB,ARI,11,9,1,3
22,Saquon Barkley,RB,PHI,5,4,1,3
23,Marvin Harrison,WR,ARI,11,8,1,3
24,Jonathan Taylor,RB,IND,14,6,1,3
25,Jordan Love,QB,GB,10,10,1,3
26,Sam LaPorta,TE,DET,5,2,1,3
27,Travis Kelce,TE,KC,6,1,1,3
28,Kyren Williams,RB,LAR,6,7,1,3
29,Brock Purdy,QB,SF,9,11,2,3
30,Travis Etienne,RB,JAX,12,8,1,3
31,Drake London,WR,ATL,12,11,1,4
32,Chris Olave,WR,NO,12,12,2,4
33,Davante Adams,WR,LV,10,10,2,4
34,Derrick Henry,RB,BAL,14,9,1,4
35,Brandon Aiyuk,WR,SF,9,13,2,4
36,Justin Herbert,QB,LAC,5,16,2,4
37,Tua Tagovailoa,QB,MIA,6,13,2,4
38,Caleb Williams,QB,CHI,7,12,2,4
39,Trey McBride,TE,ARI,11,4,1,4
40,Jared Goff,QB,DET,5,14,2,4
41,Josh Jacobs,RB,GB,10,11,1,5
42,Mike Evans,WR,TB,11,14,2,5
43,Michael Pittman,WR,IND,14,21,2,5
44,De'Von Achane,RB,MIA,6,10,2,5
45,Isiah Pacheco,RB,KC,6,12,2,5
46,Jaylen Waddle,WR,MIA,6,18,2,5
47,Mark Andrews,TE,BAL,14,3,1,5
48,Rachaad White,RB,TB,11,13,2,5
49,Dalton Kincaid,TE,BUF,12,5,1,5
50,Trevor Lawrence,QB,JAX,12,17,2,5
51,Jayden Daniels,QB,WAS,14,15,2,6
52,Stefon Diggs,WR,HOU,14,16,2,6
53,Nico Collins,WR,HOU,14,15,2,6
54,DJ Moore,WR,CHI,7,19,2,6
55,Deebo Samuel,WR,SF,9,17,2,6
56,Cooper Kupp,WR,LAR,6,20,3,6
57,Malik Nabers,WR,NYG,11,23,3,6
58,James Cook,RB,BUF,12,14,2,6
59,DK Metcalf,WR,SEA,10,22,3,6
60,DeVonta Smith,WR,PHI,5,24,3,6
61,Kyle Pitts,TE,ATL,12,7,1,7
62,Kenneth Walker,RB,SEA,10,17,2,7
63,Alvin Kamara,RB,NO,12,16,2,7
64,Joe Mixon,RB,HOU,14,15,2,7
65,Matthew Stafford,QB,LAR,6,20,2,7
66,Amari Cooper,WR,CLE,10,28,3,7
67,Kirk Cousins,QB,ATL,12,19,2,7
68,Evan Engram,TE,JAX,12,8,1,7
69,George Kittle,TE,SF,9,6,1,7
