Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
1,Ashton Jeanty,RB,FA,,1,1,1
2,Tetairoa McMillan,WR,FA,,1,1,1
3,Omarion Hampton,RB,FA,,2,1,1
4,TreVeyon Henderson,RB,FA,,3,1,1
5,Cam Ward,QB,FA,,1,1,1
6,Shedeur Sanders,QB,FA,,2,1,1
7,Quinshon Judkins,RB,FA,,4,1,1
8,Luther Burden III,WR,FA,,2,1,1
9,Emeka Egbuka,WR,FA,,3,1,1
10,Tyler Warren,TE,FA,,1,1,1
11,Kaleb Johnson,RB,FA,,5,1,1
12,Travis Hunter,WR,FA,,4,1,1
13,Isaiah Bond,WR,FA,,5,1,2
14,Colston Loveland,TE,FA,,2,1,2
15,Dylan Sampson,RB,FA,,6,1,2
16,DJ Giddens,RB,FA,,7,2,2
17,Jayden Higgins,WR,FA,,6,1,2
18,Cam Skattebo,RB,FA,,8,2,2
19,Tre Harris,WR,FA,,7,1,2
20,Matthew Golden,WR,FA,,8,2,2
21,Xavier Restrepo,WR,FA,,9,2,2
22,Devin Neal,RB,FA,,9,2,2
23,Elic Ayomanor,WR,FA,,10,2,2
24,Ollie Gordon II,RB,FA,,10,2,3
25,Jack Bech,WR,FA,,11,2,3
26,Jaylin Noel,WR,FA,,12,2,3
27,Jalen Milroe,QB,FA,,3,1,3
28,Jalen Royals,WR,FA,,13,2,3
29,Evan Stewart,WR,FA,,14,2,3
30,Harold Fannin Jr.,TE,FA,,3,2,3
31,Kyle Monangai,RB,FA,,11,2,3
32,Jaxson Dart,QB,FA,,4,1,3
33,Trevor Etienne,RB,FA,,12,2,3
34,Kyren Lacy,WR,FA,,15,2,3
35,Tez Johnson,WR,FA,,16,3,3
36,Donovan Edwards,RB,FA,,13,3,3
37,Elijah Arroyo,TE,FA,,4,2,3
38,Gunnar Helm,TE,FA,,5,2,3
39,Raheim Sanders,RB,FA,,14,3,3
40,Jarquez Hunter,RB,FA,,15,3,3
41,Quinn Ewers,QB,FA,,5,2,3
42,Tory Horton,WR,FA,,17,3,3
43,Theo Wease,WR,FA,,18,3,3
44,Antwane Wells,WR,FA,,19,3,3
45,RJ Harvey,RB,FA,,16,3,3
46,Mason Taylor,TE,FA,,6,2,3
47,Jordan James,RB,FA,,17,3,4
48,Jaydn Ott,RB,FA,,18,3,4
49,Deion Burks,WR,FA,,20,4,4
50,Tahj Brooks,RB,FA,,19,3,4
51,Julian Fleming,WR,FA,,21,4,4
52,Ja'Quinden Jackson,RB,FA,,20,4,4
53,Nick Nash,WR,FA,,22,4,4
54,Phil Mafah,RB,FA,,21,4,4
55,Chris Tyree,RB,FA,,22,4,4
56,Barion Brown,WR,FA,,23,4,4
57,Kalel Mullings,RB,FA,,23,4,4
58,Antonio Williams,WR,FA,,24,4,5
59,Savion Williams,WR,FA,,25,5,5
60,Logan Thomas,TE,FA,,7,3,5
61,Oronde Gadsden II,TE,FA,,8,3,5
62,Oscar Delp,TE,FA,,9,3,5
63,Luke Lachey,TE,FA,,10,3,5
64,Jake Briningstool,TE,FA,,11,3,5
65,Dillon Gabriel,QB,FA,,6,2,5
66,Will Howard,QB,FA,,7,2,5
67,Riley Leonard,QB,FA,,8,2,5
68,Nicholas Singleton,RB,FA,,24,5,6
69,Damien Martinez,RB,FA,,25,5,6
70,Woody Marks,RB,FA,,26,5,6
71,Pat Bryant,WR,FA,,26,5,6
